Year,Month,Make,Quantity,Pct
2015,1,Toyota,2884,22.7
2015,1,Volkswagen,2521,19.9
2015,1,Mahindra,1029,8.1
2015,1,Ford,870,6.9
2015,1,Volvo,693,5.5
2015,1,Skoda,665,5.2
2015,1,Tata,622,4.9
2015,1,Audi,599,4.7
2015,1,Honda,423,3.3
2015,1,Mercedes-Benz,362,2.9
2015,1,BMW,352,2.8
2015,1,Citroen,263,2.1
2015,1,Suzuki,258,2
2015,1,MG,191,1.5
2015,1,BYD,169,1.3
2015,1,Renault,168,1.3
2015,1,Mitsubishi,136,1.1
2015,1,Nissan,127,1
2015,1,Hyundai,97,0.8
2015,1,Kia,55,0.4
2015,1,Datsun,33,0.3
2015,1,MINI,26,0.2
2015,1,Ashok LeyLand,26,0.2
2015,1,Lexus,22,0.2
2015,1,Chevrolet,20,0.2
2015,1,BharatBenz,16,0.1
2015,1,Eicher,15,0.1
2015,1,Land Rover,14,0.1
2015,1,Fiat,9,0.1
2015,1,Chrysler,4,0
2015,1,Isuzu,4,0
2015,1,Jaguar,3,0
2015,1,Jeep,2,0
2015,1,Force Motors,2,0
2015,1,Iveco,2,0
2015,1,Smart,1,0
2015,1,Ssangyong,1,0
2015,1,NA,1,0
2015,2,Toyota,1885,19.2
2015,2,Volkswagen,1517,15.5
2015,2,Ford,686,7
2015,2,Mahindra,621,6.3
2015,2,Volvo,570,5.8
2015,2,Tata,551,5.6
2015,2,Audi,498,5.1
2015,2,Skoda,463,4.7
2015,2,Mercedes-Benz,410,4.2
2015,2,Honda,356,3.6
2015,2,BMW,335,3.4
2015,2,Suzuki,264,2.7
2015,2,Mitsubishi,262,2.7
2015,2,Citroen,247,2.5
2015,2,MG,239,2.4
2015,2,BYD,175,1.8
2015,2,Hyundai,149,1.5
2015,2,Nissan,134,1.4
2015,2,Kia,119,1.2
2015,2,Renault,84,0.9
2015,2,Chevrolet,35,0.4
2015,2,MINI,32,0.3
2015,2,Land Rover,30,0.3
2015,2,Datsun,24,0.2
2015,2,Eicher,22,0.2
2015,2,Ashok LeyLand,18,0.2
2015,2,Lexus,17,0.2
2015,2,BharatBenz,9,0.1
2015,2,Fiat,6,0.1
2015,2,Jeep,6,0.1
2015,2,Force Motors,6,0.1
2015,2,Chrysler,5,0.1
2015,2,Jaguar,5,0.1
2015,2,Smart,5,0.1
2015,2,Chevrolet US,3,0
2015,2,Ssangyong,2,0
2015,2,Porsche,2,0
2015,2,Cadillac,1,0
2015,3,Toyota,1833,16.3
2015,3,Volkswagen,1428,12.7
2015,3,Mahindra,867,7.7
2015,3,Ford,766,6.8
2015,3,Audi,682,6.1
2015,3,Volvo,656,5.8
2015,3,Tata,578,5.1
2015,3,Mitsubishi,512,4.5
2015,3,Skoda,491,4.4
2015,3,Honda,399,3.5
2015,3,Mercedes-Benz,387,3.4
2015,3,BMW,365,3.2
2015,3,Suzuki,333,3
2015,3,Nissan,327,2.9
2015,3,MG,319,2.8
2015,3,BYD,243,2.2
2015,3,Citroen,239,2.1
2015,3,Hyundai,228,2
2015,3,Kia,171,1.5
2015,3,Renault,131,1.2
2015,3,Chevrolet,52,0.5
2015,3,Land Rover,40,0.4
2015,3,Jeep,33,0.3
2015,3,MINI,28,0.2
2015,3,Eicher,27,0.2
2015,3,Datsun,25,0.2
2015,3,BharatBenz,21,0.2
2015,3,Fiat,20,0.2
2015,3,Lexus,18,0.2
2015,3,Porsche,14,0.1
2015,3,Jaguar,9,0.1
2015,3,Ashok LeyLand,7,0.1
2015,3,Isuzu,5,0
2015,3,Cadillac,4,0
2015,3,Chrysler,3,0
2015,3,Force Motors,1,0
2015,3,NA,1,0
